formula,spg,n_atoms,model,gpt_raw,cif_text,parse_ok,gpt_match_gt
C,166,4,claude-opus-4-6,"

The most stable crystal structure of carbon is diamond cubic (Fd-3m), with a conventional cubic cell of a = b = c = 3.5668 Å and 8 atoms. Expressed in P1 (no symmetry), all 8 atoms must be listed explicitly.

The 8 fractional positions in the diamond cubic cell are:

(0, 0, 0), (1/2, 1/2, 0), (1/2, 0, 1/2), (0, 1/2, 1/2),
(1/4, 1/4, 1/4), (3/4, 3/4, 1/4), (3/4, 1/4, 3/4), (1/4, 3/4, 3/4)

```cif
data_diamond
_cell_length_a                    3.5668
_cell_length_b                    3.5668
_cell_length_c                    3.5668
_cell_angle_alpha                 90.000
_cell_angle_beta                  90.000
_cell_angle_gamma                 90.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
C1  C  0.00000  0.00000  0.00000
C2  C  0.50000  0.50000  0.00000
C3  C  0.50000  0.00000  0.50000
C4  C  0.00000  0.50000  0.50000
C5  C  0.25000  0.25000  0.25000
C6  C  0.75000  0.75000  0.25000
C7  C  0.75000  0.25000  0.75000
C8  C  0.25000  0.75000  0.75000
```

This is the full diamond cubic unit cell (a = 3.5668 Å) with all 8 carbon atoms listed explicitly in space group P1. The first four atoms form the FCC sublattice, and the remaining four are offset by (¼, ¼, ¼), giving every carbon atom tetrahedral coordination — the hallmark of the diamond structure.","data_diamond
_cell_length_a                    3.5668
_cell_length_b                    3.5668
_cell_length_c                    3.5668
_cell_angle_alpha                 90.000
_cell_angle_beta                  90.000
_cell_angle_gamma                 90.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
C1  C  0.00000  0.00000  0.00000
C2  C  0.50000  0.50000  0.00000
C3  C  0.50000  0.00000  0.50000
C4  C  0.00000  0.50000  0.50000
C5  C  0.25000  0.25000  0.25000
C6  C  0.75000  0.75000  0.25000
C7  C  0.75000  0.25000  0.75000
C8  C  0.25000  0.75000  0.75000",True,False
Si,227,2,claude-opus-4-6,"

The most stable crystal structure of Si is the diamond cubic structure (Fd-3m), with a conventional cubic cell parameter of ~5.431 Å. In P1 with no symmetry, we must list all 8 atoms in the conventional cubic cell explicitly.

The 8 fractional positions in the diamond cubic cell are:

- (0, 0, 0), (1/2, 1/2, 0), (1/2, 0, 1/2), (0, 1/2, 1/2) — FCC sublattice
- (1/4, 1/4, 1/4), (3/4, 3/4, 1/4), (3/4, 1/4, 3/4), (1/4, 3/4, 3/4) — offset sublattice

```cif
data_Si_diamond
_cell_length_a                    5.43100
_cell_length_b                    5.43100
_cell_length_c                    5.43100
_cell_angle_alpha                90.000
_cell_angle_beta                 90.000
_cell_angle_gamma                90.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Si1  Si  0.00000  0.00000  0.00000
Si2  Si  0.50000  0.50000  0.00000
Si3  Si  0.50000  0.00000  0.50000
Si4  Si  0.00000  0.50000  0.50000
Si5  Si  0.25000  0.25000  0.25000
Si6  Si  0.75000  0.75000  0.25000
Si7  Si  0.75000  0.25000  0.75000
Si8  Si  0.25000  0.75000  0.75000
```","data_Si_diamond
_cell_length_a                    5.43100
_cell_length_b                    5.43100
_cell_length_c                    5.43100
_cell_angle_alpha                90.000
_cell_angle_beta                 90.000
_cell_angle_gamma                90.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Si1  Si  0.00000  0.00000  0.00000
Si2  Si  0.50000  0.50000  0.00000
Si3  Si  0.50000  0.00000  0.50000
Si4  Si  0.00000  0.50000  0.50000
Si5  Si  0.25000  0.25000  0.25000
Si6  Si  0.75000  0.75000  0.25000
Si7  Si  0.75000  0.25000  0.75000
Si8  Si  0.25000  0.75000  0.75000",True,True
GaAs,216,2,claude-opus-4-6,"

GaAs most stable structure is zinc blende (F-43m, space group 216). The conventional cubic cell has lattice parameter a = 5.6533 Å. In P1 with no symmetry, we must list all 8 atoms explicitly (4 Ga + 4 As).

Zinc blende basis in the conventional cubic cell:
- 4 Ga at (0,0,0), (0,½,½), (½,0,½), (½,½,0)
- 4 As at (¼,¼,¼), (¼,¾,¾), (¾,¼,¾), (¾,¾,¼)

```cif
data_GaAs_zincblende_P1
_cell_length_a                    5.6533
_cell_length_b                    5.6533
_cell_length_c                    5.6533
_cell_angle_alpha                 90.000
_cell_angle_beta                  90.000
_cell_angle_gamma                 90.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ga1  Ga  0.00000  0.00000  0.00000
Ga2  Ga  0.00000  0.50000  0.50000
Ga3  Ga  0.50000  0.00000  0.50000
Ga4  Ga  0.50000  0.50000  0.00000
As1  As  0.25000  0.25000  0.25000
As2  As  0.25000  0.75000  0.75000
As3  As  0.75000  0.25000  0.75000
As4  As  0.75000  0.75000  0.25000
```","data_GaAs_zincblende_P1
_cell_length_a                    5.6533
_cell_length_b                    5.6533
_cell_length_c                    5.6533
_cell_angle_alpha                 90.000
_cell_angle_beta                  90.000
_cell_angle_gamma                 90.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ga1  Ga  0.00000  0.00000  0.00000
Ga2  Ga  0.00000  0.50000  0.50000
Ga3  Ga  0.50000  0.00000  0.50000
Ga4  Ga  0.50000  0.50000  0.00000
As1  As  0.25000  0.25000  0.25000
As2  As  0.25000  0.75000  0.75000
As3  As  0.75000  0.25000  0.75000
As4  As  0.75000  0.75000  0.25000",True,True
ZnO,186,4,claude-opus-4-6,"

The most stable crystal structure of ZnO is wurtzite (B4). In the conventional hexagonal cell (space group P6₃mc), the parameters are approximately a = b = 3.2495 Å, c = 5.2069 Å, α = β = 90°, γ = 120°, with 4 atoms (2 Zn + 2 O).

In P1 we must list all 4 atoms explicitly:

| Atom | x | y | z |
|------|-----|-----|-----|
| Zn1 | 1/3 | 2/3 | 0 |
| Zn2 | 2/3 | 1/3 | 1/2 |
| O1 | 1/3 | 2/3 | 0.3821 |
| O2 | 2/3 | 1/3 | 0.8821 |

```cif
data_ZnO_wurtzite_P1
_cell_length_a                    3.2495
_cell_length_b                    3.2495
_cell_length_c                    5.2069
_cell_angle_alpha                 90.000
_cell_angle_beta                  90.000
_cell_angle_gamma                120.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Zn1  Zn  0.33333  0.66667  0.00000
Zn2  Zn  0.66667  0.33333  0.50000
O1   O   0.33333  0.66667  0.38210
O2   O   0.66667  0.33333  0.88210
```

The internal parameter u ≈ 0.3821 for oxygen gives the characteristic tetrahedral Zn–O bonding of the wurtzite structure. Each Zn is tetrahedrally coordinated by 4 O atoms, and vice versa.","data_ZnO_wurtzite_P1
_cell_length_a                    3.2495
_cell_length_b                    3.2495
_cell_length_c                    5.2069
_cell_angle_alpha                 90.000
_cell_angle_beta                  90.000
_cell_angle_gamma                120.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Zn1  Zn  0.33333  0.66667  0.00000
Zn2  Zn  0.66667  0.33333  0.50000
O1   O   0.33333  0.66667  0.38210
O2   O   0.66667  0.33333  0.88210",True,True
BN,194,4,claude-opus-4-6,"

The most stable crystal structure of BN is hexagonal boron nitride (h-BN), which has a layered graphite-like structure. In space group P6₃/mmc (No. 194), the conventional hexagonal cell contains 2 B and 2 N atoms. The standard lattice parameters are a = b ≈ 2.504 Å, c ≈ 6.661 Å, α = β = 90°, γ = 120°.

When expanded to P1, all 4 atoms must be listed explicitly.

```cif
data_hBN_P1
_cell_length_a                    2.504
_cell_length_b                    2.504
_cell_length_c                    6.661
_cell_angle_alpha                 90.000
_cell_angle_beta                  90.000
_cell_angle_gamma                120.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
B1  B  0.333333  0.666667  0.250000
B2  B  0.666667  0.333333  0.750000
N1  N  0.333333  0.666667  0.750000
N2  N  0.666667  0.333333  0.250000
```

This lists all 4 atoms in the P1 unit cell of h-BN. The B and N atoms sit at the 2c and 2d Wyckoff positions of the parent P6₃/mmc space group, with B–N pairs stacked directly above each other along c (AA' stacking), which is the defining feature of h-BN.","data_hBN_P1
_cell_length_a                    2.504
_cell_length_b                    2.504
_cell_length_c                    6.661
_cell_angle_alpha                 90.000
_cell_angle_beta                  90.000
_cell_angle_gamma                120.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
B1  B  0.333333  0.666667  0.250000
B2  B  0.666667  0.333333  0.750000
N1  N  0.333333  0.666667  0.750000
N2  N  0.666667  0.333333  0.250000",True,True
LiCoO2,227,16,claude-opus-4-6,"

The most stable structure of LiCoO₂ is the layered α-NaFeO₂ type (R-3m, hexagonal setting: a ≈ 2.8156 Å, c ≈ 14.0542 Å). In the conventional hexagonal cell there are 3 formula units (12 atoms total). Expanding to P1 means listing all 12 atoms explicitly.

The R-3m positions (hexagonal axes) for the 4 atoms in the asymmetric unit are:

- Li at 3b (0, 0, ½)
- Co at 3a (0, 0, 0)
- O at 6c (0, 0, ~0.2601)

Applying the three R-centering translations (0,0,0), (⅔,⅓,⅓), (⅓,⅔,⅔) gives all 12 atoms.

```cif
data_LiCoO2
_cell_length_a                    2.8156
_cell_length_b                    2.8156
_cell_length_c                   14.0542
_cell_angle_alpha                90.000
_cell_angle_beta                 90.000
_cell_angle_gamma               120.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Li1  Li  0.000000  0.000000  0.500000
Li2  Li  0.666667  0.333333  0.833333
Li3  Li  0.333333  0.666667  0.166667
Co1  Co  0.000000  0.000000  0.000000
Co2  Co  0.666667  0.333333  0.333333
Co3  Co  0.333333  0.666667  0.666667
O1   O   0.000000  0.000000  0.260100
O2   O   0.666667  0.333333  0.593433
O3   O   0.333333  0.666667  0.926767
O4   O   0.000000  0.000000  0.739900
O5   O   0.666667  0.333333  0.073233
O6   O   0.333333  0.666667  0.406567
```","data_LiCoO2
_cell_length_a                    2.8156
_cell_length_b                    2.8156
_cell_length_c                   14.0542
_cell_angle_alpha                90.000
_cell_angle_beta                 90.000
_cell_angle_gamma               120.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Li1  Li  0.000000  0.000000  0.500000
Li2  Li  0.666667  0.333333  0.833333
Li3  Li  0.333333  0.666667  0.166667
Co1  Co  0.000000  0.000000  0.000000
Co2  Co  0.666667  0.333333  0.333333
Co3  Co  0.333333  0.666667  0.666667
O1   O   0.000000  0.000000  0.260100
O2   O   0.666667  0.333333  0.593433
O3   O   0.333333  0.666667  0.926767
O4   O   0.000000  0.000000  0.739900
O5   O   0.666667  0.333333  0.073233
O6   O   0.333333  0.666667  0.406567",True,False
Bi2Te3,166,5,claude-opus-4-6,"

Bi₂Te₃ crystallizes in the rhombohedral structure (R-3m, #166). The conventional hexagonal cell has parameters a ≈ 4.386 Å, c ≈ 30.497 Å, with 15 atoms (6 Bi + 9 Te) arranged in quintuple layers. Expanding to P1 with no symmetry, we list all 15 atoms explicitly.

```cif
data_Bi2Te3_P1
_cell_length_a                    4.3860
_cell_length_b                    4.3860
_cell_length_c                   30.4970
_cell_angle_alpha                90.000
_cell_angle_beta                 90.000
_cell_angle_gamma               120.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Te1   Te  0.00000  0.00000  0.00000
Bi1   Bi  0.33333  0.66667  0.06040
Te2   Te  0.66667  0.33333  0.13170
Te3   Te  0.00000  0.00000  0.21220
Bi2   Bi  0.33333  0.66667  0.27260
Te4   Te  0.66667  0.33333  0.33333
Bi3   Bi  0.00000  0.00000  0.39373
Te5   Te  0.33333  0.66667  0.45553
Te6   Te  0.66667  0.33333  0.54447
Bi4   Bi  0.00000  0.00000  0.60627
Te7   Te  0.33333  0.66667  0.66667
Bi5   Bi  0.66667  0.33333  0.72740
Te8   Te  0.00000  0.00000  0.78780
Te9   Te  0.33333  0.66667  0.86830
Bi6   Bi  0.66667  0.33333  0.93960
```

This lists all 15 atoms in the hexagonal cell (3 formula units of Bi₂Te₃ → 6 Bi + 9 Te). The fractional coordinates follow the well-known quintuple-layer stacking along c, with the three-fold R-centering translations (0,0,0), (⅓,⅔,⅔), (⅔,⅓,⅓) applied explicitly so no symmetry operations are needed.","data_Bi2Te3_P1
_cell_length_a                    4.3860
_cell_length_b                    4.3860
_cell_length_c                   30.4970
_cell_angle_alpha                90.000
_cell_angle_beta                 90.000
_cell_angle_gamma               120.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Te1   Te  0.00000  0.00000  0.00000
Bi1   Bi  0.33333  0.66667  0.06040
Te2   Te  0.66667  0.33333  0.13170
Te3   Te  0.00000  0.00000  0.21220
Bi2   Bi  0.33333  0.66667  0.27260
Te4   Te  0.66667  0.33333  0.33333
Bi3   Bi  0.00000  0.00000  0.39373
Te5   Te  0.33333  0.66667  0.45553
Te6   Te  0.66667  0.33333  0.54447
Bi4   Bi  0.00000  0.00000  0.60627
Te7   Te  0.33333  0.66667  0.66667
Bi5   Bi  0.66667  0.33333  0.72740
Te8   Te  0.00000  0.00000  0.78780
Te9   Te  0.33333  0.66667  0.86830
Bi6   Bi  0.66667  0.33333  0.93960",True,False
Ba(FeAs)2,139,5,claude-opus-4-6,"

BaFe₂As₂ crystallizes in the ThCr₂Si₂-type structure (space group I4/mmm, a ≈ 3.9625 Å, c ≈ 13.0168 Å). In the conventional tetragonal cell there are 2 formula units (10 atoms). Barycentric positions (I4/mmm) are:

- Ba 2a (0, 0, 0)
- Fe 4d (0, ½, ¼)
- As 4e (0, 0, z) with z ≈ 0.3545

The body-centred lattice adds (½, ½, ½) translations, giving all 10 atoms explicitly in P1 with the same metric.

```cif
data_BaFe2As2
_cell_length_a                    3.9625
_cell_length_b                    3.9625
_cell_length_c                   13.0168
_cell_angle_alpha                90.000
_cell_angle_beta                 90.000
_cell_angle_gamma                90.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ba1   Ba  0.00000  0.00000  0.00000
Ba2   Ba  0.50000  0.50000  0.50000
Fe1   Fe  0.00000  0.50000  0.25000
Fe2   Fe  0.50000  0.00000  0.25000
Fe3   Fe  0.50000  0.00000  0.75000
Fe4   Fe  0.00000  0.50000  0.75000
As1   As  0.00000  0.00000  0.35450
As2   As  0.00000  0.00000  0.64550
As3   As  0.50000  0.50000  0.85450
As4   As  0.50000  0.50000  0.14550
```

10 atoms total (2 Ba + 4 Fe + 4 As), consistent with Z = 2 for BaFe₂As₂ in the tetragonal cell. All coordinates are the fully expanded I4/mmm Wyckoff positions written out explicitly in P1.","data_BaFe2As2
_cell_length_a                    3.9625
_cell_length_b                    3.9625
_cell_length_c                   13.0168
_cell_angle_alpha                90.000
_cell_angle_beta                 90.000
_cell_angle_gamma                90.000

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Ba1   Ba  0.00000  0.00000  0.00000
Ba2   Ba  0.50000  0.50000  0.50000
Fe1   Fe  0.00000  0.50000  0.25000
Fe2   Fe  0.50000  0.00000  0.25000
Fe3   Fe  0.50000  0.00000  0.75000
Fe4   Fe  0.00000  0.50000  0.75000
As1   As  0.00000  0.00000  0.35450
As2   As  0.00000  0.00000  0.64550
As3   As  0.50000  0.50000  0.85450
As4   As  0.50000  0.50000  0.14550",True,True
SiO2,122,6,claude-opus-4-6,"

The most stable crystal structure of SiO₂ at ambient conditions is α-quartz (low quartz), space group P3₂21 (No. 154). In the conventional hexagonal cell (a ≈ 4.916 Å, c ≈ 5.4054 Å), there are 3 formula units (9 atoms). Expanding all symmetry-equivalent positions explicitly for P1:

```cif
data_alpha_quartz_SiO2_P1
_cell_length_a                    4.9160
_cell_length_b                    4.9160
_cell_length_c                    5.4054
_cell_angle_alpha                 90.000
_cell_angle_beta                  90.000
_cell_angle_gamma                120.000
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number       1

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Si1   Si   0.46990   0.00000   0.00000
Si2   Si   0.00000   0.46990   0.66667
Si3   Si   0.53010   0.53010   0.33333
O1    O    0.41440   0.26810   0.11910
O2    O    0.73190   0.14630   0.78577
O3    O    0.85370   0.58560   0.45243
O4    O    0.26810   0.41440   0.88090
O5    O    0.14630   0.73190   0.21423
O6    O    0.58560   0.85370   0.54757
```

These are the 3 Si and 6 O positions of α-quartz fully expanded into P1, using the well-established fractional coordinates (Si at Wyckoff 3a, O at Wyckoff 6c, with x_Si ≈ 0.4699, x_O ≈ 0.4144, y_O ≈ 0.2681, z_O ≈ 0.1191).","data_alpha_quartz_SiO2_P1
_cell_length_a                    4.9160
_cell_length_b                    4.9160
_cell_length_c                    5.4054
_cell_angle_alpha                 90.000
_cell_angle_beta                  90.000
_cell_angle_gamma                120.000
_symmetry_space_group_name_H-M   'P 1'
_symmetry_Int_Tables_number       1

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
Si1   Si   0.46990   0.00000   0.00000
Si2   Si   0.00000   0.46990   0.66667
Si3   Si   0.53010   0.53010   0.33333
O1    O    0.41440   0.26810   0.11910
O2    O    0.73190   0.14630   0.78577
O3    O    0.85370   0.58560   0.45243
O4    O    0.26810   0.41440   0.88090
O5    O    0.14630   0.73190   0.21423
O6    O    0.58560   0.85370   0.54757",True,False
VO2,136,6,claude-opus-4-6,"

The most stable phase of VO₂ at room temperature is the monoclinic M1 phase (rutile-distorted, space group P2₁/c, but we'll list all atoms explicitly in P1). The M1 unit cell contains 4 formula units → 4 V + 8 O = 12 atoms total.

```cif
data_VO2_M1_P1
_cell_length_a                    5.7517
_cell_length_b                    4.5378
_cell_length_c                    5.3825
_cell_angle_alpha                 90.000
_cell_angle_beta                  122.646
_cell_angle_gamma                 90.000
_symmetry_space_group_name_H-M    'P 1'
_symmetry_Int_Tables_number       1

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
V1   V   0.26000  0.02100  0.28900
V2   V   0.74000  0.97900  0.71100
V3   V   0.76000  0.52100  0.21100
V4   V   0.24000  0.47900  0.78900
O1   O   0.10100  0.21000  0.20100
O2   O   0.89900  0.79000  0.79900
O3   O   0.39900  0.71000  0.29900
O4   O   0.60100  0.29000  0.70100
O5   O   0.35100  0.29000  0.00100
O6   O   0.64900  0.71000  0.99900
O7   O   0.14900  0.79000  0.49900
O8   O   0.85100  0.21000  0.50100
```

This is the monoclinic M1 phase of VO₂ (the thermodynamically stable structure below ~340 K). All 12 atoms in the unit cell (4 V + 8 O) are listed explicitly with no symmetry operations, as requested. The lattice parameters and fractional coordinates correspond to the well-known Longo & Kierkegaard structural data for M1-VO₂.","data_VO2_M1_P1
_cell_length_a                    5.7517
_cell_length_b                    4.5378
_cell_length_c                    5.3825
_cell_angle_alpha                 90.000
_cell_angle_beta                  122.646
_cell_angle_gamma                 90.000
_symmetry_space_group_name_H-M    'P 1'
_symmetry_Int_Tables_number       1

loop_
_atom_site_label
_atom_site_type_symbol
_atom_site_fract_x
_atom_site_fract_y
_atom_site_fract_z
V1   V   0.26000  0.02100  0.28900
V2   V   0.74000  0.97900  0.71100
V3   V   0.76000  0.52100  0.21100
V4   V   0.24000  0.47900  0.78900
O1   O   0.10100  0.21000  0.20100
O2   O   0.89900  0.79000  0.79900
O3   O   0.39900  0.71000  0.29900
O4   O   0.60100  0.29000  0.70100
O5   O   0.35100  0.29000  0.00100
O6   O   0.64900  0.71000  0.99900
O7   O   0.14900  0.79000  0.49900
O8   O   0.85100  0.21000  0.50100",True,False
